driver_name,total_races,total_points,avg_points
Michael Schumacher,104,832,8
Lewis Hamilton,55,425,7.7272727272727275
Juan Pablo Montoya,58,427,7.362068965517241
Fernando Alonso,114,827,7.254385964912281
Kimi Räikkönen,106,758,7.150943396226415
Rubens Barrichello,113,696,6.15929203539823
Jenson Button,102,601,5.892156862745098
Felipe Massa,93,533,5.731182795698925
Ralf Schumacher,70,399,5.7
Robert Kubica,51,283,5.549019607843137
David Coulthard,79,424,5.367088607594937
Jarno Trulli,83,409,4.927710843373494
Mark Webber,84,411,4.892857142857143
Giancarlo Fisichella,74,361,4.878378378378378
Nick Heidfeld,92,418,4.543478260869565
Nico Rosberg,51,226,4.431372549019608
